,ND_1,ND_2,ND_3,HF_1,HF_2,HF_3,KO_1,KO_2,KO_3,ND_KO_pvalue,ND_KO_pvalue_corr,HF_KO_pvalue,HF_KO_pvalue_corr,HF_ND_pvalue,HF_ND_pvalue_corr,log10_ND_KO_pvalue,log10_HF_KO_pvalue,log10_HF_ND_pvalue,mean_ND,mean_HF,mean_KO,log2_fc_HF_ND,log2_fc_ND_KO,log2_fc_HF_KO
1210,1400357.0218849187,1487911.7177068105,1447634.0470589835,1437689.1988029203,772896.049781073,1401634.860985394,1318810.2010781788,1248458.975046677,1409867.2423690446,0.08757395863536918,1.0,0.6110844683622983,1.0,0.32922174476892235,1.0,1.0576250182877667,0.2138987543922158,0.4825114877936831,1447634.0470589835,1401634.860985394,1318810.2010781788,-0.04658638140190464,0.13445999262093386,0.08787361121902915
1211,71988.65565141555,75780.33627304857,85124.36996540622,72412.0625400636,49436.11502292225,78276.30843376437,78780.9113115348,83529.68972980075,79004.87093410346,0.5403317141667802,1.0,0.19919150138130834,1.0,0.31992413506832934,1.0,0.26733954128290494,0.7007291949381118,0.49495299551572025,75780.33627304857,72412.0625400636,79004.87093410346,-0.06559349754754272,-0.06011806158539289,-0.12571155913293566
1212,68211.96313463573,73125.11601290057,76566.1529906793,76675.2700176218,63210.16195245415,75816.81669443702,69588.48247861759,65902.70875132164,86126.00814210305,0.8618733656856097,1.0,0.8078718142105004,1.0,0.8900469834442889,1.0,0.06455654000366529,0.09265754367769193,0.05058706738651448,73125.11601290057,75816.81669443702,69588.48247861759,0.0521508752121938,0.07151846162628737,0.12366933683848105
1213,8242756.897891845,8401471.069750128,7705378.433727522,7783978.822970207,9068800.495234631,7575050.936840787,8179624.149450536,8285108.8992293235,8100769.077385334,0.7571173788496328,1.0,0.9269229748680958,1.0,0.961848088078928,1.0,0.12083678491881326,0.03295635321212622,0.016893513948370496,8242756.897891845,7783978.822970207,8179624.149450536,-0.08261916121301276,0.0110923929391319,-0.07152676827388094
1214,158176.52792002718,144086.10911504852,153953.82137938842,156462.61456752708,65905.06296678915,162014.30030691432,149294.9125999015,144764.1958595295,145313.80413759864,0.2721372693210967,1.0,0.5882539437887828,1.0,0.48860799829574986,1.0,0.5652119773230885,0.23043515253279148,0.3110394280967657,153953.82137938842,156462.61456752708,145313.80413759864,0.02332030060869895,0.08332591899899025,0.10664621960768934
1215,792480.5892410842,803062.564993419,775723.946164784,796311.8310384086,751801.2779020279,779621.1371965702,813201.3672877316,790052.8866554308,809487.2836641531,0.26659344179156075,1.0,0.12872481315611525,1.0,0.3945864089430452,1.0,0.5741505384509251,0.8903377298780981,0.4038578775802548,792480.5892410842,779621.1371965702,809487.2836641531,-0.023602393112548085,-0.030632818444082093,-0.054235211556630275
1216,1206861.7095931615,1189443.9575606685,1272660.446221625,1460332.6084822589,1132014.5390410798,1290544.5870688662,1146402.5662145508,1185079.3299831462,1252095.252143733,0.5154465566809865,1.0,0.37357968754882365,1.0,0.5076465999567759,1.0,0.28781635723159005,0.42761674546464545,0.2944385182259397,1206861.7095931615,1290544.5870688662,1185079.3299831462,0.09671961424017442,0.026276734469928325,0.12299634871010263
1217,4011058.464118912,3612499.747501838,3805704.5024094013,4072690.5133596268,3556059.4630142385,3794207.2066587154,3344924.5276115346,3219015.687588224,3384251.9856286556,0.01700342548332878,1.0,0.035409545968229476,1.0,0.9916370630384055,1.0,1.7694635775249143,1.4508796418597008,0.003647249580442152,3805704.5024094013,3794207.2066587154,3344924.5276115346,-0.004365078135642571,0.18618988717860832,0.18182480904296563
1218,40849.12418678127,39507.08299443914,37687.59256855546,37855.76540381218,20275.17852204244,40020.041653069864,41095.05499126009,40287.01646369092,37633.23205060899,0.8272385860920368,1.0,0.33419536770983027,1.0,0.353224391315454,1.0,0.08236921634875914,0.47599957416734884,0.4519493145849609,39507.08299443914,37855.76540381218,40287.01646369092,-0.061598290572271557,-0.028203638893353117,-0.0898019294656248
1219,719374.3931676977,689152.6892342982,682557.6747681054,660997.9380236035,517865.9168604064,677028.4021388547,728728.8399131256,713731.10143173,682727.6177381026,0.5548517130322136,1.0,0.16170923506393878,1.0,0.2050598753728063,1.0,0.25582306879935046,0.7912651772316216,0.6881193109088383,689152.6892342982,660997.9380236035,713731.10143173,-0.06017789177274363,-0.05055697746102713,-0.11073486923377068
